"Domain","Base Domain","URL","Branch","Agency","State","Redirect","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"bundeskriminalamt.eu","bundeskriminalamt.eu","http://bundeskriminalamt.eu","","Bundeskriminalamt","","Yes","dotgov","No","No","No","","","","","","No"
"bundeskriminalamt.info","bundeskriminalamt.info","http://bundeskriminalamt.info","","Bundeskriminalamt","","No","dotgov","No","No","No","","","","","","No"
"bundeskriminalamt.net","bundeskriminalamt.net","http://bundeskriminalamt.net","","Bundeskriminalamt","","Yes","dotgov","No","No","No","","","","","","No"
"bundeskriminalamt.org","bundeskriminalamt.org","http://bundeskriminalamt.org","","Bundeskriminalamt","","Yes","dotgov","No","No","No","","","","","","No"
"bundesministerium-fuer-stadtentwicklung.de","bundesministerium-fuer-stadtentwicklung.de","http://bundesministerium-fuer-stadtentwicklung.de","","Bundesministerium für Verkehr und digitale Infrastruktur","","No","dotgov","No","No","No","","","","","","No"
"bundesnetzagentur.de","bundesnetzagentur.de","https://www.bundesnetzagentur.de","","Bundesnetzagentur","","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"bundespolizei.de","bundespolizei.de","https://www.bundespolizei.de","","Bundespolizeipräsidium","","No","dotgov","No","Yes","No","","","","","","No"
"bundespraesident.de","bundespraesident.de","http://www.bundespraesident.de","","Bundespräsident","","No","dotgov","No","No","No","","","","","","No"
"bundespruefstelle.de","bundespruefstelle.de","https://www.bundespruefstelle.de","","Bundesprüfstelle für jugendgefährdende Medien","","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"bundesrat.de","bundesrat.de","https://www.bundesrat.de","","Bundesrat","","No","dotgov","No","Yes","No","","","","","","No"
"bundesrechnungshof.de","bundesrechnungshof.de","https://www.bundesrechnungshof.de","","Bundesrechnungshof","","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"bundesregierung.de","bundesregierung.de","https://www.bundesregierung.de","","Bundesregierung","","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"bundessortenamt.de","bundessortenamt.de","http://www.bundessortenamt.de","","Bundessortenamt","","No","dotgov","No","No","No","No","Yes","No","No","No","No"
"bundessozialgericht.de","bundessozialgericht.de","http://www.bundessozialgericht.de","","Bundessozialgericht","","Yes","dotgov","No","No","No","","","","","","No"
"bundessprachenamt.de","bundessprachenamt.de","http://bundessprachenamt.de","","Bundessprachenamt","","No","dotgov","No","No","No","","","","","","No"
